FIPS,State,County,Diabetes Prevalence - % Adults with Diabetes,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access to Healthy Foods,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,# Uninsured Adults,% Uninsured Adults,# Uninsured Children,% Uninsured Children,Median Household Income,Household Income (AIAN),Household Income (Asian),Household Income (Black),Household Income (Hispanic),Household Income (White),% Enrolled in Free or Reduced Lunch,Segregation Index,% Household Income Required for Child Care Expenses,# Child Care Centers,"Child Care Centers per 1,000 Children",
26131,Michigan,Ontonagon,10,,,900,16,895,13,,,289,10,34,5,46824,,,,97500,44572,55,,37,1,7,83
26133,Michigan,Osceola,10,17,86,3470,15,6,0,,,1377,11,254,5,52272,16250,21635,,,50974,64,,43,16,13,80
26135,Michigan,Oscoda,10,7,98,1340,16,48,1,,,531,12,82,5,42620,33472,,,,46058,76,,43,3,7,76
26137,Michigan,Otsego,10,15,71,3560,15,2561,11,13,18,1325,9,189,4,59538,,165673,,77292,59064,55,63,45,10,8,89
26139,Michigan,Ottawa,9,135,55,25130,9,20727,8,104,12,10906,6,1870,3,79402,84083,75994,41305,65021,78415,32,70,34,121,7,90
26141,Michigan,Presque Isle,10,5,44,1900,15,838,6,,,609,9,84,4,56119,,,,25568,52093,65,,34,7,14,81
26143,Michigan,Roscommon,10,13,60,4320,18,1439,6,20,28,991,8,103,3,50822,,,,44395,46830,72,,36,12,14,86
26145,Michigan,Saginaw,11,251,156,28560,15,22772,11,143,25,8101,8,949,2,50992,19670,159784,33532,49615,58302,58,65,53,100,9,86
26147,Michigan,St. Clair,10,102,75,23770,15,19967,12,172,36,7584,8,985,3,61466,,83000,35434,60648,64213,46,73,42,46,6,88
26149,Michigan,St. Joseph,10,40,79,8560,14,3378,6,28,15,4477,13,595,4,58400,,74688,47513,68363,57321,57,66,34,26,7,84
26151,Michigan,Sanilac,10,24,69,6210,15,2115,5,18,15,2133,9,423,5,49541,45577,31458,,55982,52638,54,,48,21,10,80
26153,Michigan,Schoolcraft,11,,,1250,16,1576,19,,,536,12,75,5,49735,51875,,,,54107,56,,45,3,9,87
26155,Michigan,Shiawassee,9,46,79,8990,13,6832,10,44,22,2573,6,381,3,53197,78088,,,71375,57645,48,62,60,24,7,86
26157,Michigan,Tuscola,10,14,31,7700,15,3788,7,30,19,2459,8,294,3,52365,,,25750,53646,55506,60,69,41,21,8,79
26159,Michigan,Van Buren,11,65,103,9820,13,1301,2,50,22,4602,11,651,4,59240,42188,124167,28081,51579,63802,53,68,41,43,9,87
26161,Michigan,Washtenaw,9,603,189,38470,10,20902,6,223,20,13374,6,1777,2,77359,72500,82685,49558,59264,84815,33,57,57,183,10,93
26163,Michigan,Wayne,12,7007,485,308080,18,82549,5,2335,45,84017,8,8608,2,52644,43036,96586,36098,49826,67494,65,77,68,795,7,84
26165,Michigan,Wexford,10,21,74,4830,15,2750,8,21,21,1696,9,274,4,53711,45833,,,71042,54309,67,67,38,18,9,84
